sütun,aykırı_adet,aykırı_%,alt_sınır,üst_sınır,min,max
audio_amp_std_hr_21,2855,5.714,-15775.58,21369.68,0.0,118783.81
act_tilting_hr_23,1427,5.684,-1308.0,1744.0,0.0,3600.0
act_on_foot_hr_19,1419,5.652,-684.0,912.0,0.0,3600.0
audio_amp_mean_hr_11,2791,5.557,-20567.08,27765.15,0.0,234927.27
audio_amp_std_hr_16,2752,5.515,-15633.63,21240.35,0.0,117646.17
unlock_num_hr_1,11865,5.491,-6.0,8.0,0.0,107.0
audio_amp_std_hr_15,2736,5.474,-15206.68,20680.3,0.0,109197.46
act_still_hr_8,11675,5.403,1488.0,5184.0,0.0,3600.0
act_on_foot_hr_17,1345,5.357,-714.0,952.0,0.0,3600.0
audio_amp_mean_hr_13,2670,5.317,-24678.24,33371.35,0.0,244912.56
sms_out_num_ep_0,1328,5.29,-45.0,60.0,0.0,509.0
audio_amp_std_hr_11,2624,5.225,-14930.96,20248.81,0.0,122312.26
sms_in_num_ep_2,1280,5.099,-27.0,36.0,0.0,386.0
call_in_num_ep_0,1270,5.059,-3.0,4.0,0.0,30.0
loc_max_dis_from_campus_hr_8,7730,4.971,-3930269.81,5241202.48,18.19,16190012.66
sms_in_num_ep_0,1231,4.903,-53.0,73.0,0.0,500.0
loc_max_dis_from_campus_hr_9,7497,4.847,-3929871.01,5240622.77,4.54,16190069.07
loc_max_dis_from_campus_hr_10,7354,4.776,-3884668.66,5180303.36,3.04,16190069.07
loc_max_dis_from_campus_hr_18,7326,4.747,-3932727.42,5244415.52,7.46,16191722.83
act_on_foot_hr_14,1191,4.744,-717.0,956.0,0.0,3600.0
loc_max_dis_from_campus_hr_17,7171,4.686,-3929877.28,5240622.84,2.04,16190013.3
loc_max_dis_from_campus_hr_13,7108,4.677,-3884778.29,5180381.15,3.2,16200995.55
loc_max_dis_from_campus_hr_11,7171,4.677,-3884675.1,5180299.12,3.66,16190012.66
loc_max_dis_from_campus_hr_14,7087,4.676,-3883715.85,5178994.28,3.16,16173829.71
loc_max_dis_from_campus_hr_16,7081,4.668,-3884600.93,5180252.92,3.2,16200940.9
loc_max_dis_from_campus_hr_15,7036,4.652,-3884634.38,5180271.94,2.94,16200995.55
loc_max_dis_from_campus_hr_12,7086,4.644,-3884729.82,5180344.59,3.2,16191761.61
act_in_vehicle_ep_0,9711,4.494,-8313.0,11084.0,0.0,75644.0
audio_amp_mean_hr_19,2253,4.487,-32037.13,43260.41,0.0,177216.64
loc_max_dis_from_campus_hr_7,6898,4.426,-4050559.5,5401593.26,26.39,16190013.39
loc_max_dis_from_campus_hr_6,6878,4.412,-4050589.47,5401627.53,52.44,16190013.39
loc_max_dis_from_campus_hr_23,6968,4.406,-4135207.98,5514423.99,5.5,16190019.5
loc_max_dis_from_campus_hr_0,6935,4.404,-4129749.87,5507152.52,19.18,16190014.25
loc_max_dis_from_campus_hr_22,6992,4.403,-4125066.27,5500902.93,5.5,16190019.5
loc_max_dis_from_campus_hr_1,6953,4.401,-4125040.52,5500886.14,19.18,16190014.25
loc_max_dis_from_campus_hr_21,6923,4.387,-4125061.39,5500894.77,5.5,16191761.61
audio_amp_std_hr_14,2200,4.385,-16697.86,22693.68,0.0,106464.5
loc_max_dis_from_campus_hr_2,6901,4.385,-4125030.5,5500877.2,46.5,16190014.25
loc_max_dis_from_campus_hr_3,6863,4.376,-4125025.02,5500870.15,47.11,16190014.25
loc_max_dis_from_campus_hr_5,6799,4.356,-4053211.03,5405118.33,52.44,16190013.39
loc_max_dis_from_campus_hr_4,6817,4.354,-4053776.84,5405872.32,47.11,16190014.25
act_on_foot_hr_13,1090,4.342,-768.0,1024.0,0.0,3600.0
other_playing_duration_hr_15,8284,4.338,-2295.0,3060.0,0.0,3600.0
loc_max_dis_from_campus_hr_20,6741,4.312,-4125053.91,5500872.06,15.64,16191732.71
loc_max_dis_from_campus_hr_19,6687,4.311,-4055015.27,5407465.33,9.65,16191761.61
audio_amp_mean_hr_12,2140,4.249,-26498.95,35815.23,0.0,324664.83
audio_amp_std_hr_17,2066,4.125,-17894.65,24301.77,0.0,103782.38
act_still_hr_23,8511,3.939,532.0,5901.0,0.0,3600.0
act_tilting_hr_22,979,3.9,-1464.0,1952.0,0.0,3600.0
act_tilting_hr_10,967,3.852,-1362.0,1816.0,0.0,3600.0
loc_max_dis_from_campus_ep_0,6517,3.824,-4495574.21,5995269.48,40.94,16200995.55
light_mean_ep_3,836,3.732,-175.46,262.33,0.0,11856.8
loc_max_dis_from_campus_ep_2,6243,3.707,-4463026.3,5951783.91,40.04,16200995.55
loc_max_dis_from_campus_ep_3,6188,3.706,-4453608.49,5939097.25,5.5,16191761.61
audio_amp_std_hr_20,1853,3.705,-18894.47,25621.56,0.0,114513.36
loc_max_dis_from_campus_ep_1,6090,3.679,-4450396.97,5934749.07,46.5,16190014.25
call_out_num_ep_2,899,3.581,-3.0,4.0,0.0,36.0
audio_amp_mean_hr_18,1800,3.58,-33805.64,45648.16,0.0,198786.94
unlock_num_hr_7,7557,3.498,-6.0,8.0,0.0,75.0
audio_amp_std_hr_13,1753,3.491,-17882.03,24300.89,0.0,132250.09
loc_home_audio_amp,1196,3.359,-10101.1,13920.01,0.0,145300.67
act_tilting_hr_11,826,3.29,-1710.0,2280.0,0.0,3600.0
loc_self_dorm_audio_amp,647,3.282,-12628.83,17449.32,0.0,145300.67
act_walking_ep_1,6752,3.125,-4215.0,5711.0,0.0,32315.0
other_playing_duration_hr_17,5947,3.114,-2661.0,3548.0,0.0,3600.0
act_still_ep_1,6659,3.082,24362.0,38117.0,6.0,32400.0
other_playing_duration_hr_16,5847,3.062,-2691.0,3588.0,0.0,3600.0
act_tilting_hr_21,744,2.964,-1593.0,2124.0,0.0,3600.0
act_on_foot_hr_18,693,2.76,-924.0,1232.0,0.0,3600.0
act_walking_hr_9,5883,2.723,-1551.0,2068.0,0.0,3600.0
act_walking_hr_22,5742,2.658,-2154.0,2872.0,0.0,3600.0
act_still_hr_9,5653,2.616,428.0,5979.0,0.0,3600.0
loc_other_dorm_audio_amp,236,2.614,-30693.2,41900.97,0.0,225872.96
audio_amp_std_hr_12,1301,2.583,-19593.35,26600.87,0.0,128980.83
act_tilting_hr_16,641,2.553,-1662.0,2216.0,0.0,3600.0
act_tilting_hr_17,636,2.533,-1734.0,2312.0,0.0,3600.0
loc_study_still,1431,2.418,32.07,75.25,0.07,60.0
sleep_end,5151,2.384,36.0,162.0,0.0,191.0
loc_self_dorm_still,1514,2.315,40.98,71.08,1.43,60.0
unlock_duration_hr_8,4995,2.312,-1723.39,2297.86,0.0,3600.0
act_on_foot_hr_12,574,2.286,-948.0,1264.0,0.0,3600.0
call_out_num_ep_0,547,2.179,-6.0,8.0,0.0,69.0
act_walking_hr_10,4663,2.158,-1923.0,2564.0,0.0,3600.0
unlock_num_hr_0,4642,2.148,-12.0,16.0,0.0,87.0
act_tilting_hr_20,522,2.079,-1689.0,2252.0,0.0,3600.0
sleep_heathkit_dur,1622,2.057,-3.68,17.2,0.0,77.8
act_tilting_hr_12,508,2.024,-1689.0,2252.0,0.0,3600.0
act_tilting_hr_14,506,2.016,-1686.0,2248.0,0.0,3600.0
unlock_duration_hr_0,4338,2.008,-2164.19,2885.59,0.0,3600.0
loc_home_still,2728,1.984,39.8,71.76,0.52,60.0
act_tilting_hr_19,496,1.976,-1701.0,2268.0,0.0,3600.0
act_tilting_hr_18,496,1.976,-1767.0,2356.0,0.0,3600.0
audio_amp_mean_ep_3,1026,1.953,-39877.35,54005.07,0.0,154627.74
call_in_num_ep_2,483,1.924,-3.0,4.0,0.0,15.0
act_tilting_hr_15,479,1.908,-1668.0,2224.0,0.0,3600.0
loc_self_dorm_unlock_num,1210,1.85,-6.78,12.7,0.0,65.45
act_tilting_hr_13,447,1.781,-1707.0,2276.0,0.0,3600.0
loc_home_unlock_num,2251,1.637,-6.32,12.07,0.0,65.45
unlock_num_ep_1,3340,1.546,-33.0,51.0,0.0,255.0
unlock_duration_ep_1,3214,1.488,-6028.21,9079.47,0.0,32400.0
loc_other_dorm_unlock_num,466,1.463,-17.15,27.94,0.0,113.95
audio_amp_std_hr_19,721,1.436,-24161.47,32745.1,0.0,118019.57
sleep_duration,3015,1.395,-2.25,17.0,0.0,23.75
loc_study_unlock_num,807,1.364,-11.23,20.58,0.0,70.67
audio_amp_std_hr_18,683,1.359,-24518.07,33259.55,0.0,112396.09
act_on_foot_ep_3,333,1.326,-3889.0,5260.0,0.0,21600.0
act_walking_hr_21,2850,1.319,-2412.0,3216.0,0.0,3600.0
unlock_num_hr_8,2597,1.202,-12.0,16.0,0.0,98.0
loc_social_unlock_num,289,1.14,-16.3,29.74,0.0,88.44
loc_study_unlock_duration,648,1.095,-19.63,32.42,0.0,60.0
unlock_num_hr_22,2343,1.084,-17.0,25.0,0.0,148.0
loc_other_dorm_still,345,1.083,9.29,92.59,0.0,60.0
loc_food_unlock_duration,560,1.05,-26.21,40.94,0.0,60.0
other_playing_duration_ep_0,1941,1.016,-30621.0,49228.0,0.0,86391.0
unlock_num_hr_23,2170,1.004,-18.0,24.0,0.0,106.0
loc_social_unlock_duration,254,1.002,-27.08,42.4,0.0,60.0
loc_food_unlock_num,510,0.957,-15.61,28.81,0.0,124.14
unlock_num_hr_21,2050,0.949,-16.0,26.0,0.0,142.0
loc_self_dorm_unlock_duration,603,0.922,-17.26,32.03,0.0,60.0
audio_amp_mean_ep_0,492,0.919,-31189.06,42519.33,0.0,101813.63
audio_amp_mean_ep_2,482,0.91,-34581.81,47142.55,0.0,125802.73
loc_other_dorm_unlock_duration,290,0.91,-26.3,40.04,0.0,60.0
unlock_num_hr_20,1914,0.886,-16.0,26.0,0.0,127.0
unlock_num_hr_17,1891,0.875,-16.0,26.0,0.0,131.0
unlock_num_hr_19,1811,0.838,-16.0,26.0,0.0,136.0
loc_social_audio_amp,60,0.816,-57989.31,78896.69,0.0,144986.08
sleep_start,1701,0.787,-38.0,116.0,0.0,188.0
unlock_num_hr_16,1681,0.778,-16.0,26.0,0.0,133.0
unlock_num_ep_0,1674,0.775,-133.0,301.0,0.0,754.0
unlock_num_ep_3,1650,0.764,-65.0,124.0,0.0,425.0
unlock_num_hr_12,1633,0.756,-16.0,26.0,0.0,253.0
loc_home_unlock_duration,1024,0.745,-18.19,34.02,0.0,60.0
loc_study_audio_amp,131,0.741,-23996.11,33023.16,0.0,106908.19
unlock_num_hr_13,1593,0.737,-16.0,26.0,0.0,295.0
unlock_num_hr_14,1549,0.717,-16.0,26.0,0.0,115.0
unlock_num_hr_15,1542,0.714,-16.0,26.0,0.0,110.0
act_walking_hr_20,1477,0.684,-2595.0,3460.0,0.0,3600.0
act_walking_hr_11,1469,0.68,-2496.0,3328.0,0.0,3600.0
unlock_num_ep_2,1466,0.678,-79.0,166.0,0.0,488.0
other_playing_duration_ep_3,1214,0.636,-12003.0,17404.0,0.0,21600.0
