asama,sutun
hourly,audio_convo_duration_hr_11
hourly,audio_convo_duration_hr_12
hourly,audio_convo_duration_hr_13
hourly,audio_convo_duration_hr_14
hourly,audio_convo_duration_hr_15
hourly,audio_convo_duration_hr_16
hourly,audio_convo_duration_hr_17
hourly,audio_convo_duration_hr_18
hourly,audio_convo_duration_hr_19
hourly,audio_convo_duration_hr_2
hourly,audio_convo_duration_hr_20
hourly,audio_convo_duration_hr_21
hourly,audio_convo_duration_hr_22
hourly,audio_convo_duration_hr_23
hourly,audio_convo_duration_hr_3
hourly,audio_convo_duration_hr_4
hourly,audio_convo_duration_hr_5
hourly,audio_convo_duration_hr_6
hourly,audio_convo_duration_hr_7
hourly,audio_convo_duration_hr_8
hourly,audio_convo_duration_hr_9
hourly,audio_convo_num_hr_0
hourly,audio_convo_num_hr_1
hourly,audio_convo_num_hr_10
hourly,audio_convo_num_hr_11
hourly,audio_convo_num_hr_12
hourly,audio_convo_num_hr_13
hourly,audio_convo_num_hr_14
hourly,audio_convo_num_hr_15
hourly,audio_convo_num_hr_16
hourly,audio_convo_num_hr_17
hourly,audio_convo_num_hr_18
hourly,audio_convo_num_hr_19
hourly,audio_convo_num_hr_2
hourly,audio_convo_num_hr_20
hourly,audio_convo_num_hr_21
hourly,audio_convo_num_hr_22
hourly,audio_convo_num_hr_23
hourly,audio_convo_num_hr_3
hourly,audio_convo_num_hr_4
hourly,audio_convo_num_hr_5
hourly,audio_convo_num_hr_6
hourly,audio_convo_num_hr_7
hourly,audio_convo_num_hr_8
hourly,audio_convo_num_hr_9
hourly,audio_voice_hr_0
hourly,audio_voice_hr_1
hourly,audio_voice_hr_10
hourly,audio_voice_hr_11
hourly,audio_voice_hr_12
hourly,audio_voice_hr_13
hourly,audio_voice_hr_14
hourly,audio_voice_hr_15
hourly,audio_voice_hr_16
hourly,audio_voice_hr_17
hourly,audio_voice_hr_18
hourly,audio_voice_hr_19
hourly,audio_voice_hr_2
hourly,audio_voice_hr_20
hourly,audio_voice_hr_21
hourly,audio_voice_hr_22
hourly,audio_voice_hr_23
hourly,audio_voice_hr_3
hourly,audio_voice_hr_4
hourly,audio_voice_hr_5
hourly,audio_voice_hr_6
hourly,audio_voice_hr_7
hourly,audio_voice_hr_8
hourly,audio_voice_hr_9
hourly,loc_dist_hr_0
hourly,loc_dist_hr_1
hourly,loc_dist_hr_10
hourly,loc_dist_hr_11
hourly,loc_dist_hr_12
hourly,loc_dist_hr_13
hourly,loc_dist_hr_14
hourly,loc_dist_hr_15
hourly,loc_dist_hr_16
hourly,loc_dist_hr_17
hourly,loc_dist_hr_18
hourly,loc_dist_hr_19
hourly,loc_dist_hr_2
hourly,loc_dist_hr_20
hourly,loc_dist_hr_21
hourly,loc_dist_hr_22
hourly,loc_dist_hr_23
hourly,loc_dist_hr_3
hourly,loc_dist_hr_4
hourly,loc_dist_hr_5
hourly,loc_dist_hr_6
hourly,loc_dist_hr_7
hourly,loc_dist_hr_8
hourly,loc_dist_hr_9
hourly,loc_max_dis_from_campus_hr_0
hourly,loc_max_dis_from_campus_hr_1
hourly,loc_max_dis_from_campus_hr_10
hourly,loc_max_dis_from_campus_hr_11
hourly,loc_max_dis_from_campus_hr_12
hourly,loc_max_dis_from_campus_hr_13
hourly,loc_max_dis_from_campus_hr_14
hourly,loc_max_dis_from_campus_hr_15
hourly,loc_max_dis_from_campus_hr_16
hourly,loc_max_dis_from_campus_hr_17
hourly,loc_max_dis_from_campus_hr_18
hourly,loc_max_dis_from_campus_hr_19
hourly,loc_max_dis_from_campus_hr_2
hourly,loc_max_dis_from_campus_hr_20
hourly,loc_max_dis_from_campus_hr_21
hourly,loc_max_dis_from_campus_hr_22
hourly,loc_max_dis_from_campus_hr_23
hourly,loc_max_dis_from_campus_hr_3
hourly,loc_max_dis_from_campus_hr_4
hourly,loc_max_dis_from_campus_hr_5
hourly,loc_max_dis_from_campus_hr_6
hourly,loc_max_dis_from_campus_hr_7
hourly,loc_max_dis_from_campus_hr_8
hourly,loc_max_dis_from_campus_hr_9
hourly,loc_visit_num_hr_0
hourly,loc_visit_num_hr_1
hourly,loc_visit_num_hr_10
hourly,loc_visit_num_hr_11
hourly,loc_visit_num_hr_12
hourly,loc_visit_num_hr_13
hourly,loc_visit_num_hr_14
hourly,loc_visit_num_hr_15
hourly,loc_visit_num_hr_16
hourly,loc_visit_num_hr_17
hourly,loc_visit_num_hr_18
hourly,loc_visit_num_hr_19
hourly,loc_visit_num_hr_2
hourly,loc_visit_num_hr_20
hourly,loc_visit_num_hr_21
hourly,loc_visit_num_hr_22
hourly,loc_visit_num_hr_23
hourly,loc_visit_num_hr_3
hourly,loc_visit_num_hr_4
hourly,loc_visit_num_hr_5
hourly,loc_visit_num_hr_6
hourly,loc_visit_num_hr_7
hourly,loc_visit_num_hr_8
hourly,loc_visit_num_hr_9
hourly,other_playing_duration_hr_0
hourly,other_playing_duration_hr_1
hourly,other_playing_duration_hr_10
hourly,other_playing_duration_hr_11
hourly,other_playing_duration_hr_12
hourly,other_playing_duration_hr_13
