feature,kategori
loc_self_dorm_still,pasif
loc_self_dorm_unlock_duration,pasif
loc_self_dorm_unlock_num,pasif
loc_social_dur,pasif
loc_social_still,pasif
loc_social_unlock_duration,pasif
loc_social_unlock_num,pasif
loc_study_audio_voice,pasif
loc_study_convo_duration,pasif
loc_study_convo_num,pasif
loc_study_dur,pasif
loc_study_still,pasif
loc_study_unlock_duration,pasif
loc_study_unlock_num,pasif
sedanter_saat,pasif
gece_telefon_yogunluk,pasif
sosyal_iletisim_yogunluk,pasif
aktivite_toplam,pasif
mobilite_skoru,pasif
gunduz_gece_telefon_orani,pasif
loc_minor_locations_total,pasif
unlock_num_ep_0_lag1,pasif
unlock_duration_ep_0_lag1,pasif
gunduz_gece_telefon_orani_lag1,pasif
sedanter_saat_lag1,pasif
aktivite_toplam_lag1,pasif
act_still_ep_0_lag1,pasif
mobilite_skoru_lag1,pasif
loc_dist_ep_0_lag1,pasif
loc_max_dis_from_campus_ep_0_lag1,pasif
audio_amp_mean_ep_0_lag1,pasif
audio_convo_duration_ep_0_lag1,pasif
sosyal_iletisim_yogunluk_lag1,pasif
unlock_num_ep_0_rmean7,pasif
unlock_duration_ep_0_rmean7,pasif
gunduz_gece_telefon_orani_rmean7,pasif
sedanter_saat_rmean7,pasif
aktivite_toplam_rmean7,pasif
act_still_ep_0_rmean7,pasif
mobilite_skoru_rmean7,pasif
loc_dist_ep_0_rmean7,pasif
loc_max_dis_from_campus_ep_0_rmean7,pasif
audio_amp_mean_ep_0_rmean7,pasif
audio_convo_duration_ep_0_rmean7,pasif
sosyal_iletisim_yogunluk_rmean7,pasif
unlock_num_ep_0_rstd7,pasif
sedanter_saat_rstd7,pasif
aktivite_toplam_rstd7,pasif
mobilite_skoru_rstd7,pasif
audio_amp_mean_ep_0_rstd7,pasif
gunduz_gece_telefon_orani_rstd7,pasif
dow,pasif
is_weekend,pasif
pam_q_Q1,ema_pam_onehot
pam_q_Q2,ema_pam_onehot
pam_q_Q3,ema_pam_onehot
pam_q_Q4,ema_pam_onehot
