,act_in_vehicle_ep_0,act_on_bike_ep_0,act_on_foot_ep_0,act_running_ep_0,act_still_ep_0,act_walking_ep_0,audio_amp_mean_ep_0,audio_amp_std_ep_0,audio_convo_duration_ep_0,audio_convo_num_ep_0,audio_voice_ep_0,call_in_duration_ep_0,call_in_num_ep_0,call_miss_num_ep_0,call_out_duration_ep_0,call_out_num_ep_0,light_mean_ep_0,light_std_ep_0,loc_dist_ep_0,loc_max_dis_from_campus_ep_0,loc_visit_num_ep_0,other_playing_duration_ep_0,other_playing_num_ep_0,sms_in_num_ep_0,sms_out_num_ep_0,unlock_duration_ep_0,unlock_num_ep_0
audio_voice_ep_0,-0.010637443654834551,0.14273097514276883,0.5913847628710284,-0.20695832711252357,-0.08144930380207924,-0.31030252413872167,0.17807421078905655,0.16988133216993623,0.9840329059347448,0.9816993030703943,1.0,0.09870966071886467,0.11599412097842846,-0.05929289132546786,0.09203954028741958,0.12096540261363739,0.14655678431883373,0.18141421164554244,-0.04165928337563573,-0.08655100222932813,0.24900524411355837,-0.37109586263354044,-0.3593771513928769,0.17501111279065254,0.14069081369931777,-0.020904212789379033,-0.026804519172626044
call_in_duration_ep_0,0.1635729495663165,0.03927218867448528,0.08733841485958584,,-0.14533096427199502,,0.1829754646495695,0.1928603385555573,0.09346556283194833,0.09711485084747272,0.09870966071886467,1.0,0.9593519597561084,0.03820219937050805,0.4058720286390755,0.4574648679358827,0.10732015104633803,0.13220716496808516,0.11808100573854215,-0.04867825406588464,0.07818361219031367,,,0.28481309232924784,0.2585583420926904,0.1716277333389588,0.14150188192700802
call_in_num_ep_0,0.18839356512597588,0.05401455797695883,0.09534928832624252,,-0.16484699335744185,,0.21516211884077485,0.2228077273219605,0.10649327057402243,0.10673074918886308,0.11599412097842846,0.9593519597561084,1.0,0.05180721401635688,0.4158415422494397,0.47879252981291753,0.11258416450492874,0.14292049273043916,0.13519030286132547,-0.039508293596549296,0.08394844077690547,,,0.288611882719777,0.2587836593150338,0.1685509250483216,0.15459426539187857
call_miss_num_ep_0,-0.006060433820928057,0.01014559307032859,0.09022187206954804,,-0.01868584643203719,,0.06326208584352203,0.0658985308885104,-0.06202998398626509,-0.0668739371362567,-0.05929289132546786,0.03820219937050805,0.05180721401635688,1.0,0.03491504181741153,0.03806358196128293,0.0062486859524405,0.02119164047518356,0.006145635122456845,-0.04690073592517352,0.05117063481041228,,,-0.0054124203383775224,0.0008457188353530251,0.014496965056463555,0.061823978664357994
call_out_duration_ep_0,0.12708114574699883,0.04906643052511518,0.15977846321671385,,-0.18363735632680922,,0.17735874949479888,0.1801732878974921,0.07303056547420879,0.06598535117145735,0.09203954028741958,0.4058720286390755,0.4158415422494397,0.03491504181741153,1.0,0.9331404251756263,0.13903577418314111,0.16991099693402067,0.14472449520349107,-0.08539025783250781,0.14620911085249685,,,0.2896975429022697,0.26732039870153723,0.16212789162988048,0.1629415463207455
call_out_num_ep_0,0.17689374855361875,0.07094633739694928,0.17440552469392576,,-0.21568288514878273,,0.23136416807721877,0.23043905943617218,0.09183103754085327,0.08007971021455203,0.12096540261363739,0.4574648679358827,0.47879252981291753,0.03806358196128293,0.9331404251756263,1.0,0.1603861597646452,0.19615503074865945,0.17841383055575144,-0.06116298544484552,0.15989640674271685,,,0.3121541803113145,0.29089543271299373,0.15941089357480925,0.18587549109422385
light_mean_ep_0,0.25041466572288046,0.21195206731662664,0.3356259145656473,,-0.21973234766757538,,0.14763610571529565,0.09725792108544085,0.15777007281489147,0.14538046915077546,0.14655678431883373,0.10732015104633803,0.11258416450492874,0.0062486859524405,0.13903577418314111,0.1603861597646452,1.0,0.8741911708630138,0.36553140726201006,-0.06085049759810526,0.3550896734997038,,,0.14475239486126262,0.1792043611723114,0.10709295699913356,0.15617117711523298
light_std_ep_0,0.36202354511459195,0.2718749949392021,0.4157297355049743,,-0.3183793197603579,,0.21088166179614976,0.159642993097895,0.2067049584594839,0.18320256646474103,0.18141421164554244,0.13220716496808516,0.14292049273043916,0.02119164047518356,0.16991099693402067,0.19615503074865945,0.8741911708630138,1.0,0.462606228463675,-0.029989871227972302,0.3940385935991331,,,0.1722864445901283,0.2096018305132666,0.12211881413211384,0.21501192102591768
loc_dist_ep_0,0.722395124912754,0.2905700864797737,-0.051110597638581085,0.12292648443966192,-0.4705731437237813,0.2295836646912436,0.06060581311803077,0.05277753077176618,-0.03967314217677365,-0.03958351356199882,-0.04165928337563573,0.11808100573854215,0.13519030286132547,0.006145635122456845,0.14472449520349107,0.17841383055575144,0.36553140726201006,0.462606228463675,1.0,0.3499144828222003,0.14402653603835852,0.06236727892720017,0.0636278396632733,0.10949172563843922,0.12200790225925413,-0.005511268463261697,0.09186588054301181
loc_max_dis_from_campus_ep_0,0.4042165735270265,0.13727232611081533,-0.015793162042701817,-0.13484683167718428,-0.03404532243836772,-0.10905308475099133,-0.07831403314620777,-0.08270452757479929,-0.07914363463924994,-0.07712487597353714,-0.08655100222932813,-0.04867825406588464,-0.039508293596549296,-0.04690073592517352,-0.08539025783250781,-0.06116298544484552,-0.06085049759810526,-0.029989871227972302,0.3499144828222003,1.0,-0.28923166771345815,0.03161699169356923,0.033315514510662454,-0.1981880865392671,-0.18735136060870267,0.09228130000259978,-0.11233651310651165
loc_visit_num_ep_0,0.006780086877921631,0.10087757324975995,0.10144807335724831,0.13355908978429207,-0.27023735140520394,0.2018215853440362,0.12009787695071511,0.11625219289106593,0.24194778279075527,0.2408363539600043,0.24900524411355837,0.07818361219031367,0.08394844077690547,0.05117063481041228,0.14620911085249685,0.15989640674271685,0.3550896734997038,0.3940385935991331,0.14402653603835852,-0.28923166771345815,1.0,-0.0852923284719275,-0.07735671172651794,0.18731393611892683,0.1933420102693442,-0.020079902737997073,0.21176452684398261
other_playing_duration_ep_0,0.07200031550772887,-0.1177394128712701,-0.5026310425755859,0.2338577709208352,-0.03538997910999611,0.3450482295654729,0.21281901194662076,0.22001877334883707,-0.3841486174119599,-0.3841183598015624,-0.37109586263354044,,,,,,,,0.06236727892720017,0.03161699169356923,-0.0852923284719275,1.0,0.8621121357049144,,,0.3318201256022454,0.12408214908301504
other_playing_num_ep_0,0.07129568236276754,-0.11401935052625643,-0.503682498224098,0.2382539158117127,-0.03248442306131428,0.35450357363976415,0.22580285382828563,0.23309141251233514,-0.3722456003113945,-0.37169345265947656,-0.3593771513928769,,,,,,,,0.0636278396632733,0.033315514510662454,-0.07735671172651794,0.8621121357049144,1.0,,,0.3821117658183748,0.1632861743007835
sms_in_num_ep_0,0.10325952848225095,0.09935059815684612,0.22907336371983597,,-0.13477345083151882,,0.16006967538563288,0.14165809764146745,0.18928500969919188,0.18846006399523654,0.17501111279065254,0.28481309232924784,0.288611882719777,-0.0054124203383775224,0.2896975429022697,0.3121541803113145,0.14475239486126262,0.1722864445901283,0.10949172563843922,-0.1981880865392671,0.18731393611892683,,,1.0,0.8948569568599677,0.1182181864706711,0.2900319121849564
sms_out_num_ep_0,0.10791919065804081,0.09072883854258719,0.24081758387819355,,-0.10705927417203423,,0.11317492521858127,0.10423796247103707,0.1616957338328597,0.16124146745000953,0.14069081369931777,0.2585583420926904,0.2587836593150338,0.0008457188353530251,0.26732039870153723,0.29089543271299373,0.1792043611723114,0.2096018305132666,0.12200790225925413,-0.18735136060870267,0.1933420102693442,,,0.8948569568599677,1.0,0.10172646433163703,0.2570746774734968
unlock_duration_ep_0,0.0642266783144468,0.07879743018183356,0.1654309749952846,-0.05744506577443652,-0.11098533971151084,-0.0036947789788508087,-0.13042275808516834,-0.13317013987509455,0.000763407092955999,0.002372435196141531,-0.020904212789379033,0.1716277333389588,0.1685509250483216,0.014496965056463555,0.16212789162988048,0.15941089357480925,0.10709295699913356,0.12211881413211384,-0.005511268463261697,0.09228130000259978,-0.020079902737997073,0.3318201256022454,0.3821117658183748,0.1182181864706711,0.10172646433163703,1.0,0.458847912482936
unlock_num_ep_0,0.07408876872062752,0.13819579018945222,0.15459268904948892,0.13619183042840116,-0.3468275212146158,0.22282796852995346,-0.11166838259125778,-0.12057788444802843,-0.00758788292890222,-0.005150477338320618,-0.026804519172626044,0.14150188192700802,0.15459426539187857,0.061823978664357994,0.1629415463207455,0.18587549109422385,0.15617117711523298,0.21501192102591768,0.09186588054301181,-0.11233651310651165,0.21176452684398261,0.12408214908301504,0.1632861743007835,0.2900319121849564,0.2570746774734968,0.458847912482936,1.0
