,count,mean,std,min,25%,50%,75%,max
loc_dist_hr_3,152014.0,1490.1792165133859,333650.1280256202,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_4,154748.0,1319.727206326921,327377.9647047568,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_5,154610.0,1233.7143596935882,327454.3144817148,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_6,154673.0,2216.66713706594,365120.7025806741,0.0,0.0,0.0,0.0,116452998.953
loc_dist_hr_7,155506.0,2698.137313033069,361769.4697214178,0.0,0.0,0.0,0.0,116452998.953
loc_dist_hr_8,156539.0,4234.829235627389,458806.2909022986,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_9,157177.0,3021.3714127251424,236436.2333912179,0.0,0.0,0.0,78.453746523,63767084.7476
loc_food_audio_amp,16020.0,15470.60812589338,16397.910990741046,0.0,1206.531334655,9365.294618684999,27807.593945075,189798.033333
loc_food_audio_voice,53313.0,0.1164564855914078,0.2268002841477589,0.0,0.0,0.0,0.113681086512,1.0
loc_food_convo_duration,53313.0,5.367543245738425,12.12710199711883,0.0,0.0,0.0,1.92102454642,59.918841158
loc_food_convo_num,53313.0,0.48769489010599304,0.9609737630393966,0.0,0.0,0.0,0.600014100331,12.0
loc_food_dur,215213.0,0.4840707098613403,1.2947883767707893,0.0,0.0,0.0,0.0,24.0033333333
loc_food_still,53313.0,45.83289789693378,10.345004512596061,0.0334821428571,40.0285714286,47.7333333333,53.4666666667,60.0
loc_food_unlock_duration,53313.0,8.792172878787326,8.851546103962605,0.0,2.56839032527,6.36315660884,12.1621037284,60.0
loc_food_unlock_num,53313.0,7.363439248619762,5.965825421959244,0.0,3.42938794951,6.00200066689,9.77422120606,124.135240418
loc_health_dur,215213.0,0.011230534314325307,0.3009451168603887,0.0,0.0,0.0,0.0,24.0038888889
loc_home_audio_amp,35609.0,3073.1603139383124,7179.783160809776,0.0,193.659331339,807.247405315,3625.24670043,145300.666047
loc_home_audio_voice,137481.0,0.020258226265486845,0.06657450831362366,0.0,0.0,0.0,0.0,1.0
loc_home_convo_duration,137481.0,0.9768418529123029,3.6883665065892024,0.0,0.0,0.0,0.0,57.3522833598
loc_home_convo_num,137481.0,0.10498959788559312,0.3289713537594717,0.0,0.0,0.0,0.0,6.1793811407
loc_home_dur,215213.0,9.278302730373811,8.58421360574575,0.0,0.0,9.62111111111,16.5375,45.8033952778
loc_home_still,137481.0,54.97545664434716,5.015039141563015,0.520043336945,53.4964670176,56.3004021302,58.0632873723,60.0
loc_home_unlock_duration,137481.0,8.680785932899642,6.6150739204972036,0.0,4.18730702864,7.53616196188,11.6456527068,60.0
loc_home_unlock_num,137481.0,3.2981887140722295,2.9006293424854017,0.0,1.56487720061,2.61397452684,4.192097655,65.4464599945
loc_leisure_dur,215213.0,0.15222626324204458,1.2082925913122784,0.0,0.0,0.0,0.0,23.9216286111
loc_max_dis_from_campus_ep_0,170439.0,1212706.554228361,2252108.840652121,40.9437874497,501.65603380150003,65524.0140312,1499193.61174,16200995.5498
loc_max_dis_from_campus_ep_1,165527.0,1172573.6309516544,2220969.664651827,46.4990437343,379.902499144,6356.89507399,1483972.194815,16190014.2516
loc_max_dis_from_campus_ep_2,168398.0,1181264.8764914714,2222682.5615643156,40.0425681483,463.79151113300003,20894.4565288,1488293.8217575,16200995.5498
loc_max_dis_from_campus_ep_3,166985.0,1179166.6125530957,2226708.3589227623,5.50066115748,408.251482164,11940.4080758,1485080.49989,16191761.6077
loc_max_dis_from_campus_hr_0,157467.0,1151699.794441053,2185315.8772745263,19.1848950831,351.151729314,3400.88934196,1377051.493765,16190014.2516
loc_max_dis_from_campus_hr_1,157979.0,1149730.9423782052,2184258.595856196,19.1848950831,356.62147060250004,2296.16169757,1375489.0014,16190014.2516
loc_max_dis_from_campus_hr_10,153971.0,1116524.0445918494,2147626.6296899947,3.04469577046,319.345702915,2331.76914134,1295315.34831,16190069.0688
